"ID,Nombre Estrella,Tipo de Estrella,Distancia (a¤os luz),Magnitud Aparente,Descubridor,Fecha Descubrimiento,Masa Solar (M?),Comentarios"
"001,Sirius,Enana blanca,8.6,-1.46,F2-A,1862,2.063,**"
"002,Betelgeuse,Supergigante roja,n/a,0.50,^John Smith,1610,17,Visible a simple vista"
"003,51 Pegasi,Estrella de secuencia principal,50.45,null,??,,1.15,Primer sistema con exoplaneta"
"004,Alpha Centauri,no_class,4.37,0.01,P.L,1839,-1.5,Sistema estelar triple"
"005,Proxima Centauri,Enana roja,null,--,*,1915,null,Error en los datos"
"006,Vega,Enana blanca,-25,0.03,,**1850**,null,Magnitud aparente fuera de rango"
"007,null,Estrella de neutrones,1000,null,E.Dawkins,1974,1.4,Emite radiaci¢n"
"008,Alpha Centauri B,Enana naranja,4.37,1.33,Huxley,,,Datos incompletos"
"009,Aldebar n,Gigante naranja,65,-0.75,n/a,--,n/a,Distancia no verificada"
"010,Kepler-22b,Enana amarilla,600,--,NASA,2009,1.1,Primer exoplaneta zona habitable"
"011,Regulus,Estrella m£ltiple,77.63,-0.11,n/a,null,3.5,Estrella m£ltiple"
"012,Antares,Supergigante roja,~600,-5.28,,,??,null,Posible error en magnitud"
"013,Deneb,Supergigante blanca,2600,1.25,**An¢nimo**,n/a,null,Estrella variable"
"014,Fomalhaut,Enana blanca,null,1.16,Ptolemeo,--,1.92,"
"015,Zeta Reticuli,Enana amarilla,39,-1.15,**Inc¢gnito**,??,null,Sin datos confiables"
"016,null,Supergigante azul,7500,0.2,Desconocido,1782,-4.8,Registro incompleto"
"017,Dubhe,Gigante naranja,124,null,,n/a,4.25,Sin descubridor"
"018,Alnitak,Supergigante azul,817,-0.19,,**,null,Parte del cintur¢n de Ori¢n"
"019,Spica,Estrella binaria,n/a,-1.04,,**,10.25,Magnitud corregida"
"020,Arcturus,Gigante roja,36.7,0.18,,n/a,null,Estrella brillante"
"021,Epsilon Eridani,Enana naranja,n/a,3.73,,2000,null,Sistema exoplanetario"
"022,Capella,Estrella m£ltiple,42.9,null,n/a,--,null,Sistema cu druple"
"023,Pollux,Gigante naranja,33.78,1.14,**Charles**,null,1.91,Planeta extrasolar confirmado"
"024,Procyon,Enana blanca,11.46,0.34,**,1840,null,"
"025,Altair,Enana blanca,16.73,0.77,,**,1.79,Parte del tri ngulo de verano"
"026,Vega2,Enana amarilla,null,0.03,NASA,2021,0.8,Error en la fecha"
"027,Rigel,Supergigante azul,860,-0.03,**Antiguo**,??,17.4,Parte de Ori¢n"
"028,Canopus,Supergigante blanca,310,-0.72,**Astr¢nomo**,3000 a.C.,8.74,Posiblemente visible en Egipto"
"029,Hadar,Estrella binaria,390,n/a,,**,6.1,"
"030,Mira,Estrella variable,n/a,3.05,,**,n/a,Sistema binario"
"031,Algol,Estrella binaria,92.96,2.12,,n/a,null,Estrella del demonio"
"032,Castor,Estrella m£ltiple,51,1.58,n/a,--,null,Sistema estelar sextuple"
"033,Polaris,Estrella binaria,323.62,-3.64,,**,4.5,Estrella polar del hemisferio norte"
"034,Schedar,Gigante naranja,228,2.24,,n/a,null,"
"035,Achernar,Enana azul,139,0.46,,n/a,null,Estrella aplanada por rotaci¢n"
"036,Bellatrix,Estrella m£ltiple,250,1.64,**,2003,8.6,"
"037,Gacrux,Gigante roja,n/a,1.59,,n/a,3,Parte de la Cruz del Sur"
"038,Gomeisa,Enana azul,170,null,**,n/a,null,Estrella variable"
"039,Wezen,Supergigante amarilla,1800,1.83,**,n/a,17,"
"040,Enif,Gigante amarilla,n/a,2.39,,**,null,"
"041,Alhena,Gigante blanca,109,1.93,n/a,n/a,null,"
"042,Shaula,Estrella m£ltiple,570,1.62,n/a,**,15,Parte de la cola de Escorpio"
"043,Dubhe2,Enana blanca,125.5,2.08,,**,null,"
"044,Nunki,Enana azul,220,2.05,,**,null,Parte de Sagitario"
"045,Almach,Estrella m£ltiple,355,2.10,**,1779,2.1,Sistema binario visual"
"046,Thuban,Gigante blanca,305,3.65,n/a,n/a,null,Estrella polar hace 4000 a¤os"
"047,Alpheratz,Estrella m£ltiple,97,2.07,n/a,1778,3.6,Parte de Andr¢meda"
"048,Rasalhague,Gigante blanca,49,2.07,n/a,**,null,Parte de Ofiuco"
"049,Zubeneschamali,Enana azul,185,2.61,n/a,**,3.5,"
"050,Algieba,Gigante amarilla,130,2.28,n/a,n/a,null,Parte de Leo"
